load,true_pattern,hetero,scale,pred_mode,cdf_mode,value_mode,frozen,calibrated,greedy,fipd,frozen_gap,calibrated_gap,delta,delta_std,runs,frozen_viol,calibrated_viol,delta_ci95
0.8,mixed,low,2.0,type-noisy,correct,exact,0.9884856087897302,0.9931962333534685,1.0,1.0,-0.011514391210269714,-0.006803766646531451,0.004710624563738264,0.006533171245722524,10,0,0,0.00404930149015894
0.8,mixed,low,2.0,type-noisy,correct,noisy,0.9809807171098435,0.9906553904419496,1.0,1.0,-0.01901928289015651,-0.009344609558050266,0.009674673332106244,0.010690967222601294,10,0,0,0.006626330135470393
0.8,mixed,low,2.0,type-noisy,shifted,exact,0.9939673242724988,0.9939673242724988,1.0,1.0,-0.00603267572750118,-0.00603267572750118,0.0,0.0,10,0,0,0.0
0.8,mixed,low,2.0,type-noisy,shifted,noisy,0.9883318575099944,0.9955613086615329,1.0,1.0,-0.01166814249000565,-0.004438691338467094,0.007229451151538557,0.015469530078257358,10,0,0,0.009588114078436103
0.8,mixed,low,2.0,uniform,correct,exact,0.993519213187008,0.9950160375395705,1.0,1.0,-0.006480786812991935,-0.0049839624604295476,0.001496824352562387,0.003157584696105718,10,0,0,0.001957091270738596
0.8,mixed,low,2.0,uniform,correct,noisy,0.9912144406260659,0.9912144406260659,1.0,1.0,-0.008785559373934137,-0.008785559373934137,0.0,0.0,10,0,0,0.0
0.8,mixed,low,2.0,uniform,shifted,exact,0.9957748029796221,0.9957748029796221,1.0,1.0,-0.004225197020377947,-0.004225197020377947,0.0,0.0,10,0,0,0.0
0.8,mixed,low,2.0,uniform,shifted,noisy,0.9983334921307658,0.9983334921307658,1.0,1.0,-0.0016665078692340463,-0.0016665078692340463,0.0,0.0,10,0,0,0.0
0.8,mixed,medium,0.5,type-noisy,correct,exact,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0,0,0.0
0.8,mixed,medium,0.5,type-noisy,correct,noisy,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0,0,0.0
0.8,mixed,medium,0.5,type-noisy,shifted,exact,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0,0,0.0
0.8,mixed,medium,0.5,type-noisy,shifted,noisy,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0,0,0.0
0.8,mixed,medium,0.5,uniform,correct,exact,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0,0,0.0
0.8,mixed,medium,0.5,uniform,correct,noisy,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0,0,0.0
0.8,mixed,medium,0.5,uniform,shifted,exact,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0,0,0.0
0.8,mixed,medium,0.5,uniform,shifted,noisy,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0,0,0.0
0.8,mixed,medium,1.0,type-noisy,correct,exact,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0,0,0.0
0.8,mixed,medium,1.0,type-noisy,correct,noisy,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0,0,0.0
0.8,mixed,medium,1.0,type-noisy,shifted,exact,0.9994265874839494,0.9994265874839494,1.0,1.0,-0.0005734125160506753,-0.0005734125160506753,0.0,0.0,10,0,0,0.0
0.8,mixed,medium,1.0,type-noisy,shifted,noisy,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0,0,0.0
0.8,mixed,medium,1.0,uniform,correct,exact,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0,0,0.0
0.8,mixed,medium,1.0,uniform,correct,noisy,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0,0,0.0
0.8,mixed,medium,1.0,uniform,shifted,exact,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0,0,0.0
0.8,mixed,medium,1.0,uniform,shifted,noisy,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0,0,0.0
0.8,mixed,medium,1.5,type-noisy,correct,exact,0.9915209582011146,0.9962333691948488,1.0,1.0,-0.008479041798885334,-0.003766630805151161,0.004712410993734173,0.0057831760946475816,10,0,0,0.003584449679509076
0.8,mixed,medium,1.5,type-noisy,correct,noisy,0.9954547916147121,0.9995422547450186,1.0,1.0,-0.004545208385287924,-0.000457745254981301,0.0040874631303066235,0.008388048113183302,10,0,0,0.005198966083504467
0.8,mixed,medium,1.5,type-noisy,shifted,exact,0.9978672022118795,0.9978672022118795,1.0,1.0,-0.0021327977881204106,-0.0021327977881204106,0.0,0.0,10,0,0,0.0
0.8,mixed,medium,1.5,type-noisy,shifted,noisy,0.9995008710042141,0.9995008710042141,1.0,1.0,-0.0004991289957858691,-0.0004991289957858691,0.0,0.0,10,0,0,0.0
0.8,mixed,medium,1.5,uniform,correct,exact,0.9975402818688315,0.9980214906529354,1.0,1.0,-0.002459718131168509,-0.001978509347064428,0.0004812087841040813,0.001521715787849125,10,0,0,0.0009431692168439992
0.8,mixed,medium,1.5,uniform,correct,noisy,0.9995452458702999,0.9995452458702999,1.0,1.0,-0.00045475412969999687,-0.00045475412969999687,0.0,0.0,10,0,0,0.0
0.8,mixed,medium,1.5,uniform,shifted,exact,0.9984762447826355,0.9984762447826355,1.0,1.0,-0.0015237552173644308,-0.0015237552173644308,0.0,0.0,10,0,0,0.0
0.8,mixed,medium,1.5,uniform,shifted,noisy,0.9995665672440326,0.9995665672440326,1.0,1.0,-0.00043343275596741115,-0.00043343275596741115,0.0,0.0,10,0,0,0.0
0.8,mixed,medium,2.0,type-noisy,correct,exact,0.9665542544119219,0.9847683475108571,1.0,1.0,-0.03344574558807806,-0.015231652489142832,0.018214093098935225,0.01353447435586574,10,0,0,0.008388754115944506
